branch,source,base,commit,status,endpoint,type,features,additions,deletions,old_path,path
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/pt_BR.js
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/th_TH.js
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/vi_VN.js
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,其他,未归类路径,2,2,,h5-v2/src/lang/zh_CN.js
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,彩票/投注/开奖,16,21,,h5-v2/src/views/buy-lottery/child_modal/balls/liuhe/liuhe.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,彩票/投注/开奖,0,1,,h5-v2/src/views/buy-lottery/child_modal/balls/shareSimple/shareSimple.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,资金/充值/提现、聊天室/私聊,2,2,,h5-v2/src/views/chat/withdrawChat/withdrawChat.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,登录/注册/验证码,2,2,,h5-v2/src/views/login/login.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,个人中心/账户,6,6,,h5-v2/src/views/personal-center/child_modal/takefee_list/aliPay.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,资金/充值/提现、个人中心/账户,4,4,,h5-v2/src/views/personal-center/child_modal/takefee_list/bankPay.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,个人中心/账户,4,4,,h5-v2/src/views/personal-center/child_modal/takefee_list/currencyPay.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,个人中心/账户,6,6,,h5-v2/src/views/personal-center/child_modal/takefee_list/weChatPay.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,资金/充值/提现、个人中心/账户,2,2,,h5-v2/src/views/personal-center/child_modal/yeb/components/out_aliPay.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,资金/充值/提现、个人中心/账户,2,2,,h5-v2/src/views/personal-center/child_modal/yeb/components/out_bank.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,资金/充值/提现、个人中心/账户,2,2,,h5-v2/src/views/personal-center/child_modal/yeb/components/out_weChat.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,登录/注册/验证码,2,2,,h5-v2/src/views/register/register.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,首页/导航/版面,11,37,,h5-v2/src/views2/home/newfastNav.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,登录/注册/验证码,2,2,,h5-v2/src/views2/login/login.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,登录/注册/验证码,2,2,,h5-v2/src/views2/register/register.vue
